Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Grad_total,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services,42325,33388,25780,1941,0.054940699999999995,5411,3590,2701,316,37575,29738,23249,1661
2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services,402038,241585,154167,14273,0.055784849000000004,149084,101593,69675,3919,378778,223314,146322,12312
3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services,4315,1650,1708,187,0.10179640699999999,3465,1248,1040,72,4278,1650,1671,187
4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services,350409,286683,204242,14108,0.046902999,119489,103790,80196,2696,296901,245267,186901,10704
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services,92346,79055,65916,4257,0.051097080999999996,9173,7098,6511,681,86062,73607,62435,3928
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services,15726,12607,10453,692,0.052033987999999996,3187,1984,1481,319,14842,11921,9949,653
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services,126639,98814,83519,4902,0.047263682,27410,20035,18088,980,121260,94538,80650,4326
