Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Grad_total,Grad_employed,Grad_full_time_year_round,Grad_unemployed,Nongrad_total,Nongrad_employed,Nongrad_full_time_year_round,Nongrad_unemployed
6000,FINE ARTS,Arts,571961,386961,256747,29912,0.071753268,181514,124246,80794,8072,541433,363977,247638,26518
6001,DRAMA AND THEATER ARTS,Arts,174817,135071,81519,11789,0.08027373,66560,50690,34179,3679,156841,120476,75712,10435
6002,MUSIC,Arts,276262,192704,116142,11155,0.054719193,205013,150394,88436,6507,251339,174414,109664,8834
6003,VISUAL AND PERFORMING ARTS,Arts,55141,41098,23479,4297,0.09465800199999999,18324,14841,9671,593,48548,36008,21969,3729
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,504657,379980,266671,30330,0.07391971900000001,53864,40492,29553,2482,461977,347166,250596,25484
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,133508,107651,69303,10080,0.08561891099999999,24525,19059,13301,2035,116158,93915,63674,8160
6007,STUDIO ARTS,Arts,81008,58799,36943,5372,0.083713827,28883,21628,14277,1147,74183,53276,35035,4739
6099,MISCELLANEOUS FINE ARTS,Arts,8511,6431,3802,1190,0.156147487,1733,1100,770,44,7044,5220,3556,1001
